page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
   7   213 smask    1166   303  gray    1   8  image  no       428  0   150   150 2553B 0.7%
   7   214 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   7   215 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   7   216 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   7   217 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   7   218 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   7   219 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   7   220 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   7   221 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   7   222 image     134    17  icc     3   8  image  no       539  0   150   148 1085B  16%
   7   223 smask     134    17  gray    1   8  image  no       539  0   150   148  510B  22%
   7   224 image     134    17  icc     3   8  image  no       539  0   150   148 1085B  16%
   7   225 smask     134    17  gray    1   8  image  no       539  0   150   148  510B  22%
   7   226 image     453   605  icc     3   8  jpeg   no       622  0   150   150 5987B 0.7%
   7   227 smask     453   605  gray    1   8  jpeg   no       622  0   150   150 2585B 0.9%
   7   228 image     453   605  icc     3   8  jpeg   no       622  0   150   150 5987B 0.7%
   7   229 smask     453   605  gray    1   8  jpeg   no       622  0   150   150 2585B 0.9%
   7   230 image     414   553  icc     3   8  jpeg   no       628  0   150   150 8859B 1.3%
   7   231 smask     414   553  gray    1   8  jpeg   no       628  0   150   150 3998B 1.7%
   7   232 image     414   553  icc     3   8  jpeg   no       628  0   150   150 8859B 1.3%
   7   233 smask     414   553  gray    1   8  jpeg   no       628  0   150   150 3998B 1.7%
   7   234 image     472   630  icc     3   8  jpeg   no       634  0   150   150 6856B 0.8%
   7   235 smask     472   630  gray    1   8  jpeg   no       634  0   150   150 3024B 1.0%
   7   236 image     472   630  icc     3   8  jpeg   no       634  0   150   150 6856B 0.8%
   7   237 smask     472   630  gray    1   8  jpeg   no       634  0   150   150 3024B 1.0%
   7   238 image     436   581  icc     3   8  jpeg   no       640  0   150   150 5186B 0.7%
   7   239 smask     436   581  gray    1   8  jpeg   no       640  0   150   150 2462B 1.0%
   7   240 image     436   581  icc     3   8  jpeg   no       640  0   150   150 5186B 0.7%
   7   241 smask     436   581  gray    1   8  jpeg   no       640  0   150   150 2462B 1.0%
   7   242 image     436   581  icc     3   8  jpeg   no       640  0   150   150 5186B 0.7%
   7   243 smask     436   581  gray    1   8  jpeg   no       640  0   150   150 2462B 1.0%
   7   244 image     436   581  icc     3   8  jpeg   no       640  0   150   150 5186B 0.7%
   7   245 smask     436   581  gray    1   8  jpeg   no       640  0   150   150 2462B 1.0%
   7   246 image     423   564  icc     3   8  jpeg   no       646  0   150   150 6009B 0.8%
   7   247 smask     423   564  gray    1   8  jpeg   no       646  0   150   150 2612B 1.1%
   7   248 image     423   564  icc     3   8  jpeg   no       646  0   150   150 6009B 0.8%
   7   249 smask     423   564  gray    1   8  jpeg   no       646  0   150   150 2612B 1.1%
   8   250 image    1166   303  icc     3   8  jpeg   no       428  0   150   150 2730B 0.3%
   8   251 smask    1166   303  gray    1   8  image  no       428  0   150   150 2553B 0.7%
   8   252 image      53    53  icc     3   8  jpeg   no       440  0   150   150  965B  11%
   8   253 smask      72    72  gray    1   8  image  no       440  0   203   203  602B  12%
   8   254 image      53    53  icc     3   8  jpeg   no       443  0   150   150 1028B  12%
   8   255 smask      72    72  gray    1   8  image  no       443  0   203   203  602B  12%
   8   256 image      53    53  icc     3   8  jpeg   no       446  0   150   150 1004B  12%
   8   257 smask      72    72  gray    1   8  image  no       446  0   203   203  602B  12%
   8   258 image      53    53  icc     3   8  jpeg   no       449  0   150   150 1007B  12%
   8   259 smask      72    72  gray    1   8  image  no       449  0   203   203  602B  12%
   8   260 image    1670  1173  icc     3   8  jpeg   no       653  0   150   150 9125B 0.2%
   8   261 smask    1670  1173  gray    1   8  jpeg   no       653  0   150   150 9116B 0.5%
