Extracting raw images from cat-alfa.pdf...

Total images found: 989

Detailed list:
page40_img3.jpg: 53x53
page40_img4.jpg: 1670x1173
page40_img5.jpg: 72x72
page40_img6.jpg: 547x240
page40_img7.jpg: 887x887
page41_img1.jpg: 1399x1080
page41_img2.jpg: 1456x94
page41_img3.jpg: 411x411
page41_img4.jpg: 783x216
page41_img5.jpg: 1650x1248
page42_img1.jpg: 1167x306
page42_img2.jpg: 52x52
page42_img3.jpg: 52x52
page42_img4.jpg: 53x53
page42_img5.jpg: 53x53
page42_img6.jpg: 1670x1173
page42_img7.jpg: 1650x1275
page42_img8.jpg: 1179x275
page43_img1.jpg: 1167x306
page43_img2.jpg: 52x52
page43_img3.jpg: 52x52
page43_img4.jpg: 53x53
page43_img5.jpg: 53x53
page43_img6.jpg: 1670x1173
page43_img7.jpg: 1188x918
page43_img8.jpg: 1179x275
page43_img9.jpg: 507x285
page43_img10.jpg: 1144x696
page44_img1.jpg: 1456x94
page44_img2.jpg: 411x411
page44_img3.jpg: 636x216
page44_img4.jpg: 1264x977
page44_img5.jpg: 1650x1228
page45_img1.jpg: 1167x306
page45_img2.jpg: 53x53
page45_img3.jpg: 53x53
page45_img4.jpg: 72x72
page45_img5.jpg: 53x53
page45_img6.jpg: 53x53
page45_img7.jpg: 1670x1173
page45_img8.jpg: 1316x615
page45_img9.jpg: 74x74
page46_img1.jpg: 1167x306
page46_img2.jpg: 53x53
page46_img3.jpg: 53x53
page46_img4.jpg: 72x72
page46_img5.jpg: 53x53
page46_img6.jpg: 53x53
page46_img7.jpg: 1670x1173
page46_img8.jpg: 877x108
page46_img9.jpg: 1307x668
page46_img10.jpg: 74x74
page46_img11.jpg: 220x147
page47_img1.jpg: 1167x306
page47_img2.jpg: 53x53
page47_img3.jpg: 53x53
page47_img4.jpg: 72x72
page47_img5.jpg: 53x53
page47_img6.jpg: 53x53
page47_img7.jpg: 1670x1173
page47_img8.jpg: 1518x793
page47_img9.jpg: 394x86
page47_img10.jpg: 74x74
page47_img11.jpg: 220x147
page48_img1.jpg: 1167x306
page48_img2.jpg: 53x53
page48_img3.jpg: 53x53
page48_img4.jpg: 72x72
page48_img5.jpg: 53x53
page48_img6.jpg: 53x53
page48_img7.jpg: 1670x1173
page48_img8.jpg: 358x72
page48_img9.jpg: 395x55
page48_img10.jpg: 358x146
page48_img11.jpg: 398x67
page48_img12.jpg: 1518x793
page48_img13.jpg: 393x189
page48_img14.jpg: 53x53
page48_img15.jpg: 64x64
page48_img16.jpg: 74x74
page48_img17.jpg: 220x147
page49_img1.jpg: 1167x306
page49_img2.jpg: 53x53
page49_img3.jpg: 53x53
page49_img4.jpg: 53x53
page49_img5.jpg: 72x72
page49_img6.jpg: 53x53
page49_img7.jpg: 53x53
page49_img8.jpg: 1670x1173
page49_img9.jpg: 1485x644
page49_img10.jpg: 666x216
page49_img11.jpg: 74x74
page50_img1.jpg: 1321x1020
page50_img2.jpg: 1456x94
page50_img3.jpg: 411x411
page50_img4.jpg: 544x216
page50_img5.jpg: 1650x1248
page51_img1.jpg: 1167x306
page51_img2.jpg: 53x53
page51_img3.jpg: 53x53
page51_img4.jpg: 53x53
page51_img5.jpg: 72x72
page51_img6.jpg: 53x53
page51_img7.jpg: 53x53
page51_img8.jpg: 1670x1173
page51_img9.jpg: 361x212
page51_img10.jpg: 1155x893
page51_img11.jpg: 1129x709
page51_img12.jpg: 254x273
page52_img1.jpg: 1167x306
page52_img2.jpg: 53x53
page52_img3.jpg: 53x53
page52_img4.jpg: 53x53
page52_img5.jpg: 72x72
page52_img6.jpg: 53x53
page52_img7.jpg: 53x53
page52_img8.jpg: 1670x1173
page52_img9.jpg: 649x230
page52_img10.jpg: 1188x918
page52_img11.jpg: 1155x893
page52_img12.jpg: 673x245
page52_img13.jpg: 302x228
page53_img1.jpg: 1167x306
page53_img2.jpg: 53x53
page53_img3.jpg: 53x53
page53_img4.jpg: 53x53
page53_img5.jpg: 72x72
page53_img6.jpg: 53x53
page53_img7.jpg: 53x53
page53_img8.jpg: 1670x1173
page53_img9.jpg: 747x609
page53_img10.jpg: 66x66
page53_img11.jpg: 66x66
page53_img12.jpg: 66x66
page53_img13.jpg: 216x133
page53_img14.jpg: 333x193
page53_img15.jpg: 203x127
page53_img16.jpg: 1155x893
page53_img17.jpg: 205x133
page53_img18.jpg: 315x206
page53_img19.jpg: 209x134
page53_img20.jpg: 1016x632
page53_img21.jpg: 220x147
page54_img1.jpg: 1167x306
page54_img2.jpg: 53x53
page54_img3.jpg: 53x53
page54_img4.jpg: 53x53
page54_img5.jpg: 72x72
page54_img6.jpg: 53x53
page54_img7.jpg: 53x53
page54_img8.jpg: 1670x1173
page54_img9.jpg: 1188x918
page54_img10.jpg: 66x66
page54_img11.jpg: 66x66
page54_img12.jpg: 66x66
page54_img13.jpg: 205x134
page54_img14.jpg: 1016x632
page54_img15.jpg: 214x133
page54_img16.jpg: 203x133
page54_img17.jpg: 205x133
page54_img18.jpg: 1170x709
page54_img19.jpg: 125x59
page54_img20.jpg: 216x134
page54_img21.jpg: 220x147
page55_img1.jpg: 1167x306
page55_img2.jpg: 53x53
page55_img3.jpg: 53x53
page55_img4.jpg: 53x53
page55_img5.jpg: 72x72
page55_img6.jpg: 53x53
page55_img7.jpg: 53x53
page55_img8.jpg: 1670x1173
page55_img9.jpg: 1170x709
page55_img10.jpg: 66x66
page55_img11.jpg: 66x66
page55_img12.jpg: 66x66
page55_img13.jpg: 205x136
page55_img14.jpg: 216x133
page55_img15.jpg: 701x741
page55_img16.jpg: 203x133
page55_img17.jpg: 202x133
page55_img18.jpg: 173x219
page55_img19.jpg: 214x134
page55_img20.jpg: 673x245
page55_img21.jpg: 220x147
page56_img1.jpg: 1167x306
page56_img2.jpg: 53x53
page56_img3.jpg: 53x53
page56_img4.jpg: 53x53
page56_img5.jpg: 72x72
page56_img6.jpg: 53x53
page56_img7.jpg: 53x53
page56_img8.jpg: 1670x1173
page56_img9.jpg: 902x724
page56_img10.jpg: 62x62
page56_img11.jpg: 66x66
page56_img12.jpg: 66x66
page56_img13.jpg: 66x66
page56_img14.jpg: 206x134
page56_img15.jpg: 62x62
page56_img16.jpg: 216x133
page56_img17.jpg: 1124x141
page56_img18.jpg: 203x133
page56_img19.jpg: 205x133
page56_img20.jpg: 214x134
page56_img21.jpg: 633x356
page56_img22.jpg: 220x147
page57_img1.jpg: 1167x306
page57_img2.jpg: 53x53
page57_img3.jpg: 53x53
page57_img4.jpg: 53x53
page57_img5.jpg: 72x72
page57_img6.jpg: 53x53
page57_img7.jpg: 53x53
page57_img8.jpg: 1670x1173
page57_img9.jpg: 66x66
page57_img10.jpg: 66x66
page57_img11.jpg: 66x66
page57_img12.jpg: 206x134
page57_img13.jpg: 214x133
page57_img14.jpg: 796x621
page57_img15.jpg: 357x611
page57_img16.jpg: 203x133
page57_img17.jpg: 205x133
page57_img18.jpg: 611x611
page57_img19.jpg: 220x147
page58_img1.jpg: 1323x1022
page58_img2.jpg: 1456x94
page58_img3.jpg: 411x411
page58_img4.jpg: 978x352
page58_img5.jpg: 1650x1248
page59_img1.jpg: 1616x423
